,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
950,182.06666666666666,7.188571176218229,3.1933333333333334,1.9923074283074096,6.498333333333333,3.2807515229830444,10.93,4.895075756989534,27.661666666666665,10.58665184192917,230.35,9.129120074428503,4.928333333333334,0.2579351770417438,0.815,0.3882975663070801
960,182.605,7.012534610728613,3.0866666666666664,1.9551186380598182,6.29,3.1674227167630584,10.611666666666666,4.765241919940241,27.09,10.513573766009984,229.68333333333334,8.956546333393364,4.925,0.26964482812272367,0.8266666666666667,0.3785351884420894
970,183.04666666666665,7.001748987852174,2.986666666666667,1.903458839995115,6.088333333333333,3.1209823061907183,10.32,4.6648615556448485,26.555,10.451649391364022,228.99666666666667,8.818729437333298,4.92,0.27736858750286225,0.8416666666666667,0.3650532685634921
980,183.47833333333332,6.914202573126004,2.8833333333333333,1.8831858349320953,5.886666666666667,3.058946804956823,10.038333333333334,4.620988049709237,26.045,10.301115230886412,228.33166666666668,8.647831937672137,4.913333333333333,0.28720878971384106,0.8533333333333334,0.35377331097124187
990,183.935,6.8340404105721655,2.7933333333333334,1.8249992389648362,5.718333333333334,3.031885643548511,9.776666666666667,4.559618648771199,25.566666666666666,10.271265203902043,227.79,8.667904398795978,4.905,0.298844998842768,0.8433333333333334,0.3634862063713317
1000,184.34666666666666,6.7948379099300285,2.705,1.7994374120818963,5.55,2.9839850312403806,9.511666666666667,4.4866316863420925,25.028333333333332,10.231855349294612,227.14166666666668,8.577583025279068,4.895,0.31194283664372596,0.83,0.3756327994198571
1010,184.82833333333335,6.697427159406485,2.6033333333333335,1.7718132582815291,5.418333333333333,2.9591660799774147,9.25,4.42803568187972,24.543333333333333,10.207911419852524,226.64333333333335,8.656757796978921,4.885,0.3242041537879065,0.8366666666666667,0.3696695220809462
1020,185.295,6.521347636800238,2.533333333333333,1.739412416753302,5.246666666666667,2.886605080174431,8.981666666666667,4.347566049590911,24.016666666666666,10.119604186374527,226.07333333333332,8.585721997725193,4.883333333333334,0.3261730965130148,0.86,0.3469870314579477
1030,185.67166666666665,6.432770053060774,2.4566666666666666,1.6965029390549893,5.093333333333334,2.8227567297866045,8.708333333333334,4.27082317071962,23.546666666666667,10.001890932329854,225.47666666666666,8.4917286553184,4.873333333333333,0.3424746543744359,0.8616666666666667,0.34524950720054853
1040,186.05166666666668,6.384016282003737,2.3666666666666667,1.6629959577688502,4.92,2.739269975741713,8.433333333333334,4.198677040317443,23.026666666666667,9.909050857114854,224.79833333333335,8.277137018451619,4.86,0.3564641169411945,0.8633333333333333,0.3434951075181245
1050,186.41333333333333,6.32000703234489,2.295,1.6272599669382866,4.755,2.6823450561029647,8.216666666666667,4.136792907018132,22.533333333333335,9.832372834446197,224.21333333333334,8.124930085169279,4.85,0.3662876829305976,0.8666666666666667,0.33993463423952
